name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::ServerEngine::UnlockForPropertyAccess,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,187,141970,0.001451,674,210,10,15896,1356.270432,404,155
fo::NetOutBuffer::StartMsg,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,212,2110,0.000022,6,351,80,1260,1450.955961,1013,170
fo::NetworkServerConnection_Asio::NextAsyncRead,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,201,37970,0.000388,3,12656,11360,13370,1124.826209,13357,12300
fo::NetworkServerConnection_Asio::DispatchImpl,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,260,1380,0.000014,6,230,40,640,48384.372318,560,148
fo::EntityLock::Release,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,229,252735,0.002583,770,328,20,21100,946.020484,700,253
fo::ServerConnection::InBufAccessor::Lock,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,103,6860,0.000070,57,120,10,260,58.827836,202,113
fo::Properties::ValidateFiniteRawData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,2241,105561,0.001079,2556,41,1,12555,365.152321,120,24
fo::GameTimer::IsTimeSynchronized,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Timer.cpp,50,160737,0.001643,1014,158,10,31056,1035.668986,313,103
fo::Player::Send_TimeSync,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,685,1860,0.000019,3,620,490,730,3975.977930,721,565
fo::SyncContext::ReleaseLocks,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,1715,202288,0.002067,1084,186,1,75792,2369.381382,360,59
