name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::NetworkServerConnection_Asio::NextAsyncRead,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,201,82036,0.000767,9,9115,4431,12971,3364.574843,12835,8633
Server_Game_Sync_4,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Build\windows\GeneratedSource\MetadataRegistration-Server.gen.cpp,3270,5740,0.000054,2,2870,1010,4730,9566.216598,4544,1010
fo::ServerConnection::InBufAccessor::InBufAccessor,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,89,13851,0.000130,97,142,10,300,163.200573,280,136
fo::TakeRawBytes,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\PropertiesSerializator.cpp,326,100,0.000001,2,50,50,50,0.000000,50,50
fo::EntityManager::CallInit,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,1015,2450,0.000023,2,1225,240,2210,1569.346998,2112,240
fo::WorkerPool::Cancel,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\WorkerPool.cpp,201,1150,0.000011,1,1150,1150,1150,0.000000,1150,1150
fo::Critter::MarkIsForPlayer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,335,2490,0.000023,1,2490,2490,2490,0.000000,2490,2490
OnGlobalMapCritterIn,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,400,0.000004,1,400,400,400,0.000000,400,400
fo::NetBuffer::NetBuffer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,40,520,0.000005,2,260,180,340,113.137085,332,180
fo::ScriptArray_CreateList,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptArray.cpp,170,2910,0.000027,3,970,90,2670,16584.911833,2418,120
fo::NetInBuffer::NeedProcess,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,427,8596,0.000080,89,96,20,580,157.131387,381,74
fo::SyncContext::SyncEntities,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,815,857888,0.008024,86,9975,350,27668,50347.871892,17171,9297
fo::Properties::CopyRawData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,1536,1610,0.000015,16,100,40,380,98.758966,298,82
fo::Player::Send_TimeSync,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,685,4089,0.000038,8,511,150,680,20796.511476,666,487
fo::DataBaseImpl::RegisterDbRequests,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\DataBase.cpp,1086,3170,0.000030,4,792,570,1250,309.664334,1167,640
